taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason
135283	Acanthurus lineatus	Acanthurus	Acanthuridae	Acanthuridae	Striped Surgeonfish	636	3601	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
180389	Ctenochaetus striatus	Ctenochaetus	Acanthuridae	Acanthuridae	Lined Bristletooth	568	3903	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
49641	Zebrasoma scopas	Zebrasoma	Acanthuridae	Acanthuridae	Brown Tang	510	2391	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
106624	Naso vlamingii	Naso	Acanthuridae	Acanthuridae	Bignose Unicornfish	492	1431	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
153279	Acanthurus pyroferus	Acanthurus	Acanthuridae	Acanthuridae	Mimic Surgeonfish	490	1319	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
121193	Acanthurus nigricans	Acanthurus	Acanthuridae	Acanthuridae	Whitecheek Surgeonfish	411	1842	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
121194	Acanthurus nigricauda	Acanthurus	Acanthuridae	Acanthuridae	Eyeline Surgeonfish	340	1205	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
424818	Zebrasoma velifer	Zebrasoma	Acanthuridae	Acanthuridae	Pacific Sailfin Tang	303	3421	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
52451	Naso lituratus	Naso	Acanthuridae	Acanthuridae	Pacific Orange-spine Unicornfish	273	3576	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
121704	Acanthurus olivaceus	Acanthurus	Acanthuridae	Acanthuridae	Orangeblotch Surgeonfish	247	2581	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
153281	Naso brachycentron	Naso	Acanthuridae	Acanthuridae	Humpback Unicornfish	238	557	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
187279	Ctenochaetus binotatus	Ctenochaetus	Acanthuridae	Acanthuridae	Twospot Bristletooth	206	801	True	False	True	broad_pretraining	regional_and_global_abundance
83879	Naso brevirostris	Naso	Acanthuridae	Acanthuridae	Paletail Unicornfish	180	1725	True	False	True	broad_pretraining	regional_and_global_abundance
130879	Paracanthurus hepatus	Paracanthurus	Acanthuridae	Acanthuridae	Palette Tang	140	615	True	False	True	broad_pretraining	regional_and_global_abundance
132409	Acanthurus mata	Acanthurus	Acanthuridae	Acanthuridae	Yellowmask Surgeonfish	265	764	True	False	False	eligible_not_selected	genus_quota_reached
132366	Acanthurus xanthopterus	Acanthurus	Acanthuridae	Acanthuridae	Yellowfin Surgeonfish	182	2984	True	False	False	eligible_not_selected	genus_quota_reached
59931	Acanthurus triostegus	Acanthurus	Acanthuridae	Acanthuridae	Convict Surgeonfish	179	4319	True	False	False	eligible_not_selected	genus_quota_reached
121458	Naso hexacanthus	Naso	Acanthuridae	Acanthuridae	Sleek Unicornfish	90	671	True	False	False	eligible_not_selected	genus_quota_reached
123269	Acanthurus leucosternon	Acanthurus	Acanthuridae	Acanthuridae	Powder Blue Tang	76	1508	True	False	False	eligible_not_selected	genus_quota_reached
121658	Naso unicornis	Naso	Acanthuridae	Acanthuridae	Bluespine Unicornfish	59	3696	True	False	False	eligible_not_selected	genus_quota_reached
132410	Acanthurus nigrofuscus	Acanthurus	Acanthuridae	Acanthuridae	Dusky Surgeonfish	56	3651	True	False	False	eligible_not_selected	genus_quota_reached
52452	Naso elegans	Naso	Acanthuridae	Acanthuridae	Elegant Unicornfish	23	1347	True	False	False	eligible_not_selected	genus_quota_reached
122689	Acanthurus thompsoni	Acanthurus	Acanthuridae	Acanthuridae	Whitetail Surgeonfish	84	391	False	False	False	ineligible	below_regional_or_global_threshold
186999	Acanthurus leucocheilus	Acanthurus	Acanthuridae	Acanthuridae	White-spine Surgeonfish	82	139	False	False	False	ineligible	below_regional_or_global_threshold
