taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
135283	Acanthurus lineatus	Acanthurus	Acanthuridae	Acanthuridae	450	common_target_pretraining	200	200	0	0.32413	146	200	primary_train	v3_exact_label_count_meets_minimum
121704	Acanthurus olivaceus	Acanthurus	Acanthuridae	Acanthuridae	265	common_target_pretraining	109	109	0	0.32413	86	200	primary_train	v3_exact_label_count_meets_minimum
180389	Ctenochaetus striatus	Ctenochaetus	Acanthuridae	Acanthuridae	608	common_target_pretraining	200	200	0	0.32413	197	200	primary_train	v3_exact_label_count_meets_minimum
52451	Naso lituratus	Naso	Acanthuridae	Acanthuridae	485	common_target_pretraining	200	200	0	0.32413	157	200	primary_train	v3_exact_label_count_meets_minimum
49641	Zebrasoma scopas	Zebrasoma	Acanthuridae	Acanthuridae	359	common_target_pretraining	112	112	0	0.32413	116	200	primary_train	v3_exact_label_count_meets_minimum
424818	Zebrasoma velifer	Zebrasoma	Acanthuridae	Acanthuridae	407	common_target_pretraining	162	162	0	0.32413	132	200	primary_train	v3_exact_label_count_meets_minimum
121196	Acanthurus coeruleus	Acanthurus	Acanthuridae	Acanthuridae	1231	broad_pretraining	200	200	0	0.32413	399	200	primary_train	v3_exact_label_count_meets_minimum
59931	Acanthurus triostegus	Acanthurus	Acanthuridae	Acanthuridae	660	broad_pretraining	200	134	66	0.32413	214	200	primary_train	v3_exact_label_count_meets_minimum
56772	Prionurus laticlavius	Prionurus	Acanthuridae	Acanthuridae	689	broad_pretraining	84	84	0	0.32413	223	200	reserve_backfill	near_minimum_or_projection_uncertain
52459	Zebrasoma flavescens	Zebrasoma	Acanthuridae	Acanthuridae	306	broad_pretraining	86	86	0	0.32413	99	200	reserve_backfill	near_minimum_or_projection_uncertain
121195	Acanthurus chirurgus	Acanthurus	Acanthuridae	Acanthuridae	256	eligible_not_selected			0	0.32413	83	200	reserve_backfill	near_minimum_or_projection_uncertain
132410	Acanthurus nigrofuscus	Acanthurus	Acanthuridae	Acanthuridae	486	eligible_not_selected			0	0.32413	158	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
1315888	Acanthurus sandvicensis	Acanthurus	Acanthuridae	Acanthuridae	466	eligible_not_selected		66	0	0.32413	151	200	primary_train	relabelled_seed_plus_supply_projected_to_reach_minimum
871060	Acanthurus tractus	Acanthurus	Acanthuridae	Acanthuridae	651	eligible_not_selected			0	0.32413	211	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
132366	Acanthurus xanthopterus	Acanthurus	Acanthuridae	Acanthuridae	382	eligible_not_selected			0	0.32413	124	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
121738	Aetobatus ocellatus	Aetobatus	Aetobatidae	Aetobatidae	256	broad_pretraining	69	69	0	0.281939	72	200	reserve_backfill	near_minimum_or_projection_uncertain
127530	Pseudanthias squamipinnis	Pseudanthias	Anthiadidae	Anthiadidae	342	broad_pretraining	153	82	71	0.274373	94	200	reserve_backfill	near_minimum_or_projection_uncertain
1579632	Pseudanthias cheirospilos	Pseudanthias	Anthiadidae	Anthiadidae	232	ineligible		70	0	0.274373	64	200	reserve_backfill	near_minimum_or_projection_uncertain
47239	Aulostomus chinensis	Aulostomus	Aulostomidae	Aulostomidae	570	broad_pretraining	105	105	0	0.193029	110	200	primary_train	v3_exact_label_count_meets_minimum
47238	Aulostomus maculatus	Aulostomus	Aulostomidae	Aulostomidae	574	broad_pretraining	68	68	0	0.193029	111	200	reserve_backfill	near_minimum_or_projection_uncertain
57743	Balistapus undulatus	Balistapus	Balistidae	Balistidae	546	broad_pretraining	200	200	0	0.3864	211	200	primary_train	v3_exact_label_count_meets_minimum
123392	Balistoides viridescens	Balistoides	Balistidae	Balistidae	461	broad_pretraining	140	140	0	0.3864	178	200	primary_train	v3_exact_label_count_meets_minimum
52464	Melichthys niger	Melichthys	Balistidae	Balistidae	407	broad_pretraining	161	161	0	0.3864	157	200	primary_train	v3_exact_label_count_meets_minimum
52411	Melichthys vidua	Melichthys	Balistidae	Balistidae	254	broad_pretraining	123	123	0	0.3864	98	200	primary_train	v3_exact_label_count_meets_minimum
53669	Odonus niger	Odonus	Balistidae	Balistidae	251	broad_pretraining	96	96	0	0.3864	97	200	reserve_backfill	near_minimum_or_projection_uncertain
83884	Rhinecanthus aculeatus	Rhinecanthus	Balistidae	Balistidae	446	broad_pretraining	200	200	0	0.3864	172	200	primary_train	v3_exact_label_count_meets_minimum
210294	Lipophrys pholis	Lipophrys	Blenniidae	Blenniidae	462	broad_pretraining	56	56	0	0.171521	79	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
49933	Parablennius marmoreus	Parablennius	Blenniidae	Blenniidae	277	broad_pretraining	26	26	0	0.171521	48	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
118686	Parablennius sanguinolentus	Parablennius	Blenniidae	Blenniidae	336	broad_pretraining	44	44	0	0.171521	58	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
123690	Caranx melampygus	Caranx	Carangidae	Carangidae	564	common_target_pretraining	200	200	0	0.307688	174	200	primary_train	v3_exact_label_count_meets_minimum
82330	Caranx ruber	Caranx	Carangidae	Carangidae	476	broad_pretraining	173	173	0	0.307688	146	200	primary_train	v3_exact_label_count_meets_minimum
47228	Caranx sexfasciatus	Caranx	Carangidae	Carangidae	300	broad_pretraining	49	49	0	0.307688	92	200	reserve_backfill	near_minimum_or_projection_uncertain
67964	Carcharhinus melanopterus	Carcharhinus	Carcharhinidae	Carcharhinidae	380	common_target_pretraining	109	109	0	0.255932	97	200	primary_train	v3_exact_label_count_meets_minimum
52314	Triaenodon obesus	Triaenodon	Carcharhinidae	Carcharhinidae	746	common_target_pretraining	163	163	0	0.255932	191	200	primary_train	v3_exact_label_count_meets_minimum
97146	Chaetodon baronessa	Chaetodon	Chaetodontidae	Chaetodontidae	282	common_target_pretraining	123	123	0	0.387977	109	200	primary_train	v3_exact_label_count_meets_minimum
