taxon_id	species	target
49947	Anisotremus virginicus	200
49639	Cephalopholis miniata	200
53669	Odonus niger	200
118682	Chromis chromis	200
530886	Chrysophrys auratus	200
1556594	Myliobatis tenuicaudata	200
410520	Forsterygion lapillum	200
49495	Holacanthus tricolor	200
196838	Parupeneus barberinus	200
181028	Pomacentrus moluccensis	200
121000	Gymnothorax javanicus	200
210173	Kyphosus vaigiensis	200
96993	Cephalopholis fulva	200
113101	Stegastes acapulcoensis	200
52459	Zebrasoma flavescens	200
623850	Hypanus americanus	200
128183	Stegastes partitus	200
56772	Prionurus laticlavius	200
122002	Plectorhinchus chaetodonoides	200
49624	Myripristis jacobus	200
127530	Pseudanthias squamipinnis	200
54441	Echidna nebulosa	200
100121	Epinephelus merra	200
96991	Cephalopholis cruentata	200
49964	Ginglymostoma cirratum	200
128105	Gymnothorax moringa	200
57399	Fistularia commersonii	200
49404	Synodus intermedius	200
1579632	Pseudanthias cheirospilos	200
121738	Aetobatus ocellatus	200
47238	Aulostomus maculatus	200
48844	Echeneis naucrates	200
128172	Mulloidichthys martinicus	200
179872	Dascyllus reticulatus	200
1315932	Azurina multilineata	200
47228	Caranx sexfasciatus	200
106306	Mycteroperca fusca	200
102823	Hippocampus histrix	200
97157	Chaetodon ephippium	200
97208	Chaetodon ulietensis	200
49273	Chaetodon ocellatus	200
102088	Halichoeres trimaculatus	200
112166	Scarus taeniopterus	200
1561489	Thalassoma amblycephalum	200
97307	Cheilinus chlorourus	200
112145	Scarus frenatus	200
49428	Bodianus rufus	200
97308	Cheilinus fasciatus	200
112864	Sparisoma rubripinne	200
63597	Novaculichthys taeniourus	200
113973	Thalassoma duperrey	200
1315935	Azurina cyanea	200
179880	Chromis viridis	200
952775	Dascyllus aruanus	200
121195	Acanthurus chirurgus	200
49304	Stegastes planifrons	200
113987	Thalassoma rueppellii	200
