Abudefduf vaigiensis
Acanthurus lineatus
Acanthurus nigricans
Acanthurus nigricauda
Acanthurus olivaceus
Acanthurus pyroferus
Aethaloperca rogaa
Amblyglyphidodon aureus
Amphiprion clarkii
Amphiprion percula
Amphiprion perideraion
Amphiprion polymnus
Apolemichthys trimaculatus
Arothron caeruleopunctatus
Arothron hispidus
Arothron manilensis
Arothron nigropunctatus
Bodianus dictynna
Bolbometopon muricatum
Caesio caerulaurea
Canthigaster bennetti
Canthigaster compressa
Canthigaster papua
Canthigaster valentini
Caranx ignobilis
Caranx melampygus
Carcharhinus melanopterus
Centropyge bicolor
Centropyge eibli
Centropyge tibicen
Centropyge vrolikii
Cephalopholis argus
Cephalopholis cyanostigma
Cephalopholis miniata
Cephalopholis sonnerati
Cephalopholis urodeta
Chaetodon adiergastos
Chaetodon baronessa
Chaetodon kleinii
Chaetodon rafflesii
Cheilinus undulatus
Chlorurus bleekeri
Chlorurus spilurus
Coris gaimard
Ctenochaetus striatus
Dascyllus reticulatus
Dascyllus trimaculatus
Epinephelus areolatus
Epinephelus fasciatus
Epinephelus merra
Genicanthus lamarck
Gymnothorax javanicus
Halichoeres chrysus
Halichoeres hartzfeldii
Halichoeres hortulanus
Hemigymnus melapterus
Heniochus acuminatus
Heniochus varius
Labroides dimidiatus
Lutjanus bengalensis
Lutjanus bohar
Lutjanus decussatus
Lutjanus gibbus
Lutjanus monostigma
Macolor macularis
Mobula alfredi
Mulloidichthys flavolineatus
Mulloidichthys vanicolensis
Naso brachycentron
Naso lituratus
Naso vlamingii
Oxycheilinus bimaculatus
Parupeneus barberinus
Parupeneus heptacantha
Parupeneus macronemus
Parupeneus multifasciatus
Platax boersii
Platax orbicularis
Platax pinnatus
Platax teira
Plectorhinchus chaetodonoides
Plectorhinchus polytaenia
Plectorhinchus vittatus
Pomacanthus imperator
Pomacanthus navarchus
Pomacanthus semicirculatus
Pomacentrus coelestis
Pomacentrus moluccensis
Pterocaesio tile
Pygoplites diacanthus
Scarus dimidiatus
Scarus ghobban
Scarus niger
Scarus psittacus
Scarus rubroviolaceus
Scarus spinus
Scarus tricolor
Siganus guttatus
Siganus puellus
Siganus virgatus
Siganus vulpinus
Thalassoma hardwicke
Thalassoma lunare
Triaenodon obesus
Upeneus tragula
Variola albimarginata
Zebrasoma scopas
Zebrasoma velifer
