aethaloperca rogaa
amphiprion polymnus
arothron caeruleopunctatus
canthigaster compressa
centropyge eibli
centropyge tibicen
cephalopholis sonnerati
chlorurus spilurus
epinephelus areolatus
euthynnus affinis
genicanthus lamarck
halichoeres chrysus
halichoeres hartzfeldii
lutjanus bengalensis
mola alexandrini
naso lituratus
naso vlamingii
oxycheilinus bimaculatus
parupeneus heptacantha
parupeneus macronemus
parupeneus multifasciatus
platax boersii
platax orbicularis
platax pinnatus
platax teira
plectorhinchus chaetodonoides
plectorhinchus polytaenia
pomacanthus semicirculatus
pterocaesio tile
pygoplites diacanthus
scarus spinus
scarus tricolor
scomberomorus commerson
sphyraena barracuda
sphyraena qenie
triaenodon obesus
upeneus tragula
variola albimarginata
zebrasoma scopas
