taxon_id	name	rank	count	preferred_common_name
97167	Chaetodon kleinii	species	334	Blacklip Butterflyfish
97139	Chaetodon adiergastos	species	175	Panda Butterflyfish
48747	Chaetodon vagabundus	species	166	Vagabond Butterflyfish
102638	Heniochus varius	species	141	Humphead Bannerfish
97146	Chaetodon baronessa	species	130	Eastern Triangle Butterflyfish
97174	Chaetodon melannotus	species	124	Blackback Butterflyfish
48743	Chaetodon lunulatus	species	121	Redfin Butterflyfish
97193	Chaetodon rafflesii	species	113	Lattice Butterflyfish
97154	Chaetodon decussatus	species	99	Indian Vagabond Butterflyfish
47316	Chaetodon lunula	species	88	Raccoon Butterflyfish
68025	Scarus niger	species	80	Swarthy Parrotfish
83297	Scarus rubroviolaceus	species	77	Redlip Parrotfish
112167	Scarus tricolor	species	63	Tricolour Parrotfish
187233	Chlorurus spilurus	species	56	Pacific Bullethead Parrotfish
97637	Chlorurus bleekeri	species	52	Bleeker's Parrotfish
95867	Bolbometopon muricatum	species	41	Bumphead Parrotfish
112138	Scarus dimidiatus	species	41	Yellow-barred Parrotfish
52498	Scarus psittacus	species	37	Palenose Parrotfish
112165	Scarus spinus	species	30	Greensnout Parrotfish
84175	Scarus ghobban	species	28	Blue-barred Parrotfish
135283	Acanthurus lineatus	species	221	Striped Surgeonfish
180389	Ctenochaetus striatus	species	185	Lined Bristletooth
153279	Acanthurus pyroferus	species	149	Mimic Surgeonfish
106624	Naso vlamingii	species	142	Bignose Unicornfish
121193	Acanthurus nigricans	species	121	Whitecheek Surgeonfish
49641	Zebrasoma scopas	species	117	Brown Tang
121194	Acanthurus nigricauda	species	97	Eyeline Surgeonfish
121704	Acanthurus olivaceus	species	80	Orangeblotch Surgeonfish
153281	Naso brachycentron	species	80	Humpback Unicornfish
52451	Naso lituratus	species	75	Pacific Orange-spine Unicornfish
67963	Thalassoma hardwicke	species	206	Sixbar Wrasse
102045	Halichoeres hortulanus	species	183	Checkerboard Wrasse
113980	Thalassoma lunare	species	144	Moon Wrasse
103901	Labroides dimidiatus	species	131	Bluestreak Cleaner Wrasse
108074	Oxycheilinus bimaculatus	species	108	Twospot Wrasse
52323	Coris gaimard	species	107	Yellowtail Coris
102580	Hemigymnus melapterus	species	101	Blackeye Thicklip
102044	Halichoeres hartzfeldii	species	90	Orangeline Wrasse
95820	Bodianus dictynna	species	84	Redfin Hogfish
102038	Halichoeres chrysus	species	80	Canary Wrasse
49639	Cephalopholis miniata	species	159	Coral Grouper
52456	Cephalopholis argus	species	124	Peacock Grouper
100099	Epinephelus fasciatus	species	114	Blacktip Grouper
114929	Variola albimarginata	species	109	White-edged Lyretail
100121	Epinephelus merra	species	59	Honeycomb Grouper
97004	Cephalopholis sonnerati	species	51	Tomato Grouper
100077	Epinephelus areolatus	species	45	Areolate Grouper
96992	Cephalopholis cyanostigma	species	43	Bluespotted Grouper
97007	Cephalopholis urodeta	species	43	Flagtail Grouper
93453	Aethaloperca rogaa	species	33	Redmouth Grouper
84181	Pomacanthus imperator	species	309	Emperor Angelfish
110019	Pomacanthus semicirculatus	species	148	Semicircle Angelfish
111389	Pygoplites diacanthus	species	138	Regal Angelfish
94416	Apolemichthys trimaculatus	species	102	Threespot Angelfish
96939	Centropyge bicolor	species	102	Bicolor Angelfish
96964	Centropyge tibicen	species	72	Keyhole Angelfish
96966	Centropyge vrolikii	species	64	Pearlscale Angelfish
